chr	windowStartPos	AH
chr22	29360128	['denisova']
chr22	29884416	['denisova']
chr22	31457280	['vindija', 'chagyrskaya', 'altai']
chr22	36700160	['vindija', 'chagyrskaya', 'altai']
chr22	37224448	['vindija', 'chagyrskaya', 'altai']
chr3	5242880	['denisova']
chr3	16252928	['vindija']
chr3	22020096	['altai']
chr3	25690112	['chagyrskaya']
chr3	26214400	['chagyrskaya']
chr3	51904512	['altai']
chr3	70778880	['denisova']
chr3	72351744	['denisova']
chr3	72876032	['denisova']
chr3	79167488	['chagyrskaya']
chr3	79691776	['chagyrskaya']
chr3	81264640	['vindija', 'chagyrskaya']
chr3	81788928	['vindija', 'chagyrskaya']
chr3	106954752	['altai']
chr3	120061952	['vindija', 'chagyrskaya', 'altai']
chr3	121110528	['denisova']
chr3	135266304	['denisova']
chr3	135790592	['denisova']
chr3	138936320	['chagyrskaya']
chr3	140509184	['chagyrskaya']
chr3	141033472	['chagyrskaya']
chr3	142082048	['denisova']
chr3	169869312	['denisova']
chr3	170393600	['denisova']
chr3	182452224	['denisova']
chr3	189267968	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr3	189792256	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr4	33554432	['altai']
chr4	34078720	['altai']
chr4	62914560	['denisova']
chr4	84410368	['vindija']
chr4	102236160	['denisova']
chr4	102760448	['denisova']
chr4	117964800	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr4	118489088	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr4	130547712	['denisova']
chr4	131072000	['denisova']
chr4	136839168	['chagyrskaya']
chr4	154140672	['chagyrskaya']
chr4	154664960	['chagyrskaya']
chr4	165675008	['vindija', 'chagyrskaya', 'altai']
chr4	173015040	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr4	177209344	['vindija', 'chagyrskaya']
chr5	2097152	['altai']
chr5	2621440	['vindija', 'chagyrskaya']
chr5	4194304	['vindija', 'chagyrskaya']
chr5	4718592	['vindija', 'chagyrskaya']
chr5	19922944	['chagyrskaya']
chr5	23592960	['vindija', 'chagyrskaya', 'altai']
chr5	24117248	['vindija', 'chagyrskaya', 'altai']
chr5	60293120	['denisova']
chr5	73400320	['altai']
chr5	83886080	['vindija', 'chagyrskaya', 'altai']
chr5	93323264	['altai']
chr5	94896128	['denisova']
chr5	95420416	['denisova']
chr5	101711872	['vindija', 'chagyrskaya', 'altai']
chr5	102236160	['vindija', 'chagyrskaya', 'altai']
chr5	103809024	['chagyrskaya']
chr5	106430464	['vindija', 'chagyrskaya', 'altai']
chr5	129499136	['denisova']
chr5	130023424	['denisova']
chr5	136314880	['denisova']
chr6	27787264	['vindija', 'chagyrskaya']
chr6	28311552	['vindija', 'chagyrskaya']
chr6	47710208	['vindija']
chr6	51380224	['denisova']
chr6	51904512	['denisova']
chr6	56623104	['vindija', 'chagyrskaya', 'altai']
chr6	65011712	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr6	65536000	['vindija', 'chagyrskaya', 'altai']
chr6	69206016	['vindija', 'altai']
chr6	74973184	['denisova']
chr6	99614720	['vindija', 'chagyrskaya']
chr6	108527616	['altai']
chr6	116916224	['denisova']
chr6	123207680	['denisova']
chr6	123731968	['denisova']
chr6	128974848	['chagyrskaya']
chr6	132644864	['vindija', 'chagyrskaya', 'altai']
chr6	166723584	['altai']
chr7	3670016	['vindija', 'chagyrskaya', 'altai']
chr7	8388608	['denisova']
chr7	8912896	['denisova']
chr7	16252928	['altai']
chr7	22544384	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr7	23068672	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr7	39845888	['denisova']
chr7	40370176	['altai', 'denisova']
chr7	40894464	['altai']
chr7	45613056	['vindija', 'chagyrskaya', 'altai']
chr7	54001664	['denisova']
chr7	62390272	['vindija', 'altai', 'denisova']
chr7	86507520	['denisova']
chr7	87031808	['denisova']
chr7	96468992	['altai']
chr7	96993280	['altai']
chr7	131596288	['vindija', 'chagyrskaya', 'altai']
chr7	152043520	['denisova']
chr7	152567808	['denisova']
chr7	157810688	['altai']
chr8	20447232	['denisova']
chr8	49807360	['vindija', 'chagyrskaya', 'altai']
chr8	62390272	['denisova']
chr8	62914560	['denisova']
chr8	72351744	['denisova']
chr8	80740352	['denisova']
chr8	81264640	['denisova']
chr8	97517568	['vindija', 'chagyrskaya', 'altai']
chr8	99614720	['vindija', 'chagyrskaya', 'altai']
chr8	119013376	['vindija', 'chagyrskaya', 'altai']
chr8	123731968	['vindija']
chr8	143130624	['chagyrskaya']
chr9	4194304	['denisova']
chr9	4718592	['denisova']
chr9	26738688	['denisova']
chr9	29884416	['altai']
chr9	83361792	['denisova']
chr9	83886080	['denisova']
chr9	130547712	['altai']
chrX	5767168	['denisova']
chrX	11010048	['vindija', 'chagyrskaya', 'denisova']
chrX	11534336	['vindija', 'chagyrskaya', 'altai', 'denisova']
chrX	29360128	['chagyrskaya', 'altai']
chrX	47185920	['vindija', 'chagyrskaya', 'altai']
chrX	71827456	['vindija', 'chagyrskaya']
chrX	72351744	['vindija', 'chagyrskaya']
chrX	95420416	['denisova']
chrX	95944704	['denisova']
chrX	115867648	['denisova']
chrX	116391936	['denisova']
