chr	window_Start	window_Stop	AH:num3DmodifyingVars
chr10	119537664	120586240	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'A_spe:1'}
chr10	120061952	121110528	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr10	128974848	130023424	{'D_spe:1', 'D_mse:1'}
chr11	6815744	7864320	{'V_mse:1', 'C_mse:1', 'V_spe:1'}
chr11	9437184	10485760	{'V_mse:1', 'V_spe:1'}
chr11	9961472	11010048	{'V_mse:1'}
chr11	19398656	20447232	{'D_spe:2', 'D_mse:2'}
chr11	22544384	23592960	{'D_spe:1', 'D_mse:1'}
chr11	39845888	40894464	{'D_mse:1'}
chr11	58195968	59244544	{'V_mse:1', 'V_spe:1'}
chr11	58720256	59768832	{'V_mse:1', 'V_spe:1'}
chr11	74973184	76021760	{'D_spe:1', 'D_mse:1'}
chr11	75497472	76546048	{'D_spe:1', 'D_mse:1'}
chr11	96468992	97517568	{'V_spe:1', 'C_spe:1'}
chr11	112197632	113246208	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr11	112721920	113770496	{'C_spe:1', 'A_spe:1'}
chr11	115343360	116391936	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr11	115867648	116916224	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr11	126353408	127401984	{'D_spe:1', 'D_mse:1'}
chr11	126877696	127926272	{'D_spe:1', 'D_mse:1'}
chr11	132120576	133169152	{'D_spe:1', 'D_mse:1'}
chr11	132644864	133693440	{'D_mse:1'}
chr12	44564480	45613056	{'D_spe:1'}
chr12	56623104	57671680	{'C_mse:1'}
chr12	59768832	60817408	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr12	98566144	99614720	{'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr13	21495808	22544384	{'D_mse:1'}
chr13	38797312	39845888	{'V_mse:1', 'V_spe:1'}
chr13	39321600	40370176	{'V_mse:1', 'V_spe:1'}
chr13	49283072	50331648	{'A_mse:1', 'A_spe:1'}
chr13	88080384	89128960	{'V_mse:1', 'V_spe:1'}
chr13	88604672	89653248	{'V_mse:1', 'V_spe:1'}
chr13	92798976	93847552	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr13	93323264	94371840	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr13	100663296	101711872	{'V_mse:1', 'C_mse:1', 'C_spe:1'}
chr13	107479040	108527616	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr13	108003328	109051904	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr14	24641536	25690112	{'C_mse:1', 'C_spe:1'}
chr14	39845888	40894464	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr14	40370176	41418752	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr14	44564480	45613056	{'D_mse:1'}
chr14	45088768	46137344	{'D_spe:1', 'D_mse:1'}
chr14	45613056	46661632	{'V_spe:1', 'D_mse:3', 'V_mse:1', 'D_spe:3', 'A_spe:1'}
chr14	46137344	47185920	{'D_spe:2'}
chr14	47185920	48234496	{'D_spe:1'}
chr14	59768832	60817408	{'A_mse:1', 'A_spe:1'}
chr14	60817408	61865984	{'V_mse:1'}
chr14	67633152	68681728	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr14	69206016	70254592	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr14	69730304	70778880	{'V_mse:1', 'A_mse:1'}
chr14	72876032	73924608	{'A_mse:1', 'A_spe:1'}
chr14	78643200	79691776	{'C_mse:1', 'C_spe:1'}
chr14	79167488	80216064	{'C_mse:1'}
chr14	80740352	81788928	{'D_spe:1', 'D_mse:1'}
chr14	81264640	82313216	{'D_mse:1'}
chr14	87031808	88080384	{'D_spe:1', 'D_mse:1'}
chr15	25690112	26738688	{'V_spe:1'}
chr15	39845888	40894464	{'D_mse:1'}
chr15	42991616	44040192	{'D_spe:1', 'D_mse:1'}
chr15	43515904	44564480	{'D_spe:1', 'D_mse:1'}
chr15	45088768	46137344	{'D_mse:1'}
chr15	45613056	46661632	{'D_mse:1'}
chr15	60817408	61865984	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr15	75497472	76546048	{'D_mse:1'}
chr15	76021760	77070336	{'D_spe:1', 'D_mse:1'}
chr15	78643200	79691776	{'C_mse:1', 'C_spe:1'}
chr15	94371840	95420416	{'C_mse:1', 'C_spe:1'}
chr15	94896128	95944704	{'C_mse:1', 'C_spe:1'}
chr16	1572864	2621440	{'C_mse:1', 'C_spe:1'}
chr16	2097152	3145728	{'V_spe:1', 'C_mse:1', 'D_mse:2', 'V_mse:1', 'A_mse:1', 'D_spe:2', 'C_spe:1', 'A_spe:1'}
chr16	2621440	3670016	{'D_mse:1'}
chr16	23592960	24641536	{'C_mse:1', 'C_spe:1'}
chr16	27787264	28835840	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr16	49283072	50331648	{'D_mse:1'}
chr16	49807360	50855936	{'D_spe:1', 'D_mse:1'}
chr16	50331648	51380224	{'V_spe:1'}
chr16	50855936	51904512	{'V_spe:1'}
chr16	54525952	55574528	{'D_spe:1', 'D_mse:1'}
chr16	55050240	56098816	{'D_spe:2', 'D_mse:2'}
chr16	55574528	56623104	{'D_spe:1', 'D_mse:1'}
chr16	65536000	66584576	{'V_mse:1', 'V_spe:1'}
chr16	66060288	67108864	{'V_mse:1'}
chr16	87031808	88080384	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr17	2621440	3670016	{'D_mse:1'}
chr17	7864320	8912896	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr17	9961472	11010048	{'D_spe:1', 'D_mse:1'}
chr17	10485760	11534336	{'D_spe:1', 'D_mse:1'}
chr17	12058624	13107200	{'V_spe:1', 'C_mse:1', 'D_mse:2', 'V_mse:1', 'A_mse:1', 'D_spe:2', 'C_spe:1', 'A_spe:1'}
chr17	12582912	13631488	{'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1'}
chr17	29884416	30932992	{'V_mse:1', 'V_spe:1'}
chr17	35127296	36175872	{'D_spe:2', 'D_mse:2'}
chr17	40894464	41943040	{'V_mse:1'}
chr17	42467328	43515904	{'C_mse:1'}
chr17	42991616	44040192	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr17	58195968	59244544	{'C_mse:1', 'C_spe:1'}
chr17	58720256	59768832	{'V_spe:1', 'C_mse:3', 'D_mse:1', 'V_mse:1', 'C_spe:3', 'A_mse:3'}
chr18	1572864	2621440	{'V_spe:1'}
chr18	4194304	5242880	{'C_spe:2', 'A_spe:2', 'V_spe:2'}
chr18	24117248	25165824	{'C_spe:1', 'A_spe:1'}
chr18	47185920	48234496	{'D_mse:1'}
chr18	47710208	48758784	{'D_mse:1'}
chr18	48758784	49807360	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr18	50855936	51904512	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr19	4718592	5767168	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr19	5242880	6291456	{'D_spe:1', 'D_mse:1'}
chr19	5767168	6815744	{'D_spe:1', 'D_mse:1'}
chr19	22544384	23592960	{'D_spe:1'}
chr19	31981568	33030144	{'V_spe:1'}
chr19	32505856	33554432	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr19	47185920	48234496	{'C_mse:1'}
chr19	48234496	49283072	{'V_mse:1'}
chr19	48758784	49807360	{'V_mse:1'}
chr19	49807360	50855936	{'V_spe:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr19	50331648	51380224	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr2	2097152	3145728	{'A_spe:1'}
chr2	22544384	23592960	{'D_spe:1', 'D_mse:1'}
chr2	24641536	25690112	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr2	25690112	26738688	{'A_mse:1', 'A_spe:1'}
chr2	26214400	27262976	{'A_mse:1', 'A_spe:1'}
chr2	29360128	30408704	{'V_spe:1'}
chr2	40370176	41418752	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr2	40894464	41943040	{'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1'}
chr2	45613056	46661632	{'V_mse:1', 'V_spe:1'}
chr2	46137344	47185920	{'V_mse:1', 'V_spe:1', 'D_mse:1'}
chr2	49283072	50331648	{'D_spe:1'}
chr2	54525952	55574528	{'A_mse:1', 'A_spe:1'}
chr2	65011712	66060288	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr2	72351744	73400320	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr2	75497472	76546048	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr2	76021760	77070336	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr2	101711872	102760448	{'C_mse:1'}
chr2	135790592	136839168	{'D_spe:1', 'D_mse:1'}
chr2	136314880	137363456	{'D_spe:1', 'D_mse:1'}
chr2	139460608	140509184	{'C_spe:1', 'D_spe:2', 'V_spe:1', 'A_spe:2'}
chr2	139984896	141033472	{'D_spe:1'}
chr2	140509184	141557760	{'D_spe:1'}
chr2	148373504	149422080	{'C_mse:1', 'C_spe:1'}
chr2	193462272	194510848	{'D_mse:3', 'A_spe:3', 'D_spe:3', 'C_mse:2', 'C_spe:2', 'A_mse:3'}
chr2	193986560	195035136	{'D_spe:2', 'C_spe:2', 'A_spe:2'}
chr2	195559424	196608000	{'D_spe:1'}
chr2	196083712	197132288	{'D_spe:1', 'D_mse:1'}
chr2	198180864	199229440	{'D_spe:1', 'D_mse:1'}
chr2	204472320	205520896	{'V_mse:1', 'A_mse:1', 'V_spe:1', 'A_spe:1'}
chr2	209190912	210239488	{'V_spe:2', 'A_mse:1', 'V_mse:2', 'C_mse:2', 'C_spe:2', 'A_spe:1'}
chr2	209715200	210763776	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr2	218103808	219152384	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr2	218628096	219676672	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr2	220200960	221249536	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr2	220725248	221773824	{'V_mse:1', 'V_spe:1', 'C_spe:1'}
chr2	223870976	224919552	{'D_spe:1', 'D_mse:1'}
chr2	224395264	225443840	{'D_spe:1', 'D_mse:1'}
chr20	6291456	7340032	{'D_spe:1', 'D_mse:1'}
chr20	30408704	31457280	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr20	37748736	38797312	{'D_spe:1'}
chr20	38273024	39321600	{'D_spe:1'}
chr20	42991616	44040192	{'D_spe:1', 'D_mse:1'}
chr20	57671680	58720256	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr20	58195968	59244544	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr21	24641536	25690112	{'V_mse:1', 'A_mse:1', 'V_spe:1', 'A_spe:1'}
chr21	25165824	26214400	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr21	25690112	26738688	{'A_mse:1', 'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr21	28835840	29884416	{'C_mse:1', 'C_spe:1'}
chr21	45088768	46137344	{'D_spe:1', 'D_mse:1'}
chr22	29360128	30408704	{'D_spe:1', 'D_mse:1'}
chr22	29884416	30932992	{'D_spe:1', 'D_mse:1'}
chr22	31457280	32505856	{'A_mse:2', 'V_spe:2', 'A_spe:2', 'V_mse:2', 'C_mse:2', 'C_spe:2'}
chr3	5242880	6291456	{'D_spe:1'}
chr3	16252928	17301504	{'V_mse:1', 'V_spe:1'}
chr3	16777216	17825792	{'V_mse:1', 'V_spe:1'}
chr3	22020096	23068672	{'A_mse:1', 'A_spe:1'}
chr3	25690112	26738688	{'C_spe:1'}
chr3	26214400	27262976	{'C_spe:1'}
chr3	51904512	52953088	{'A_mse:2', 'A_spe:2'}
chr3	70778880	71827456	{'D_spe:1', 'D_mse:1'}
chr3	72351744	73400320	{'D_spe:1', 'D_mse:1'}
chr3	72876032	73924608	{'D_spe:1', 'D_mse:1'}
chr3	79167488	80216064	{'C_mse:1', 'C_spe:1'}
chr3	79691776	80740352	{'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr3	81264640	82313216	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr3	81788928	82837504	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr3	99614720	100663296	{'D_spe:1', 'D_mse:1'}
chr3	106954752	108003328	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr3	120061952	121110528	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr3	121110528	122159104	{'D_spe:1', 'D_mse:1'}
chr3	135266304	136314880	{'D_spe:1', 'D_mse:1'}
chr3	135790592	136839168	{'D_spe:1', 'D_mse:1'}
chr3	138936320	139984896	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr3	140509184	141557760	{'C_mse:1', 'C_spe:1'}
chr3	141033472	142082048	{'C_mse:1', 'C_spe:1'}
chr3	141557760	142606336	{'D_spe:1', 'D_mse:1'}
chr3	142082048	143130624	{'D_spe:1', 'D_mse:1'}
chr3	169869312	170917888	{'D_spe:1', 'D_mse:1'}
chr3	170393600	171442176	{'D_spe:1', 'D_mse:1'}
chr3	179306496	180355072	{'A_spe:1'}
chr3	181927936	182976512	{'D_spe:1', 'D_mse:1'}
chr3	182452224	183500800	{'D_spe:1', 'D_mse:1'}
chr3	185597952	186646528	{'A_mse:1'}
chr3	186122240	187170816	{'A_mse:1'}
chr3	189267968	190316544	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr3	189792256	190840832	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr4	11010048	12058624	{'D_mse:1'}
chr4	11534336	12582912	{'D_mse:2'}
chr4	22544384	23592960	{'D_spe:1'}
chr4	25165824	26214400	{'C_mse:1'}
chr4	33554432	34603008	{'A_spe:1'}
chr4	34078720	35127296	{'A_spe:1'}
chr4	40370176	41418752	{'D_mse:1'}
chr4	62914560	63963136	{'D_spe:1'}
chr4	83886080	84934656	{'V_mse:1', 'V_spe:1'}
chr4	84410368	85458944	{'V_mse:1', 'V_spe:1'}
chr4	102236160	103284736	{'D_spe:1'}
chr4	102760448	103809024	{'D_spe:1', 'D_mse:1'}
chr4	125304832	126353408	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr4	130547712	131596288	{'D_spe:1', 'D_mse:1'}
chr4	131072000	132120576	{'D_spe:1', 'D_mse:1'}
chr4	136839168	137887744	{'C_mse:1', 'C_spe:1'}
chr4	137363456	138412032	{'C_spe:1'}
chr4	162529280	163577856	{'V_spe:1'}
chr4	165675008	166723584	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr4	166199296	167247872	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr4	172490752	173539328	{'D_spe:1'}
chr4	173015040	174063616	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr4	176160768	177209344	{'D_mse:1'}
chr4	177209344	178257920	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr5	1572864	2621440	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr5	2621440	3670016	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr5	4194304	5242880	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr5	4718592	5767168	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr5	19398656	20447232	{'C_mse:1'}
chr5	19922944	20971520	{'C_mse:2', 'C_spe:2'}
chr5	20447232	21495808	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	23592960	24641536	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	24117248	25165824	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	35651584	36700160	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	36175872	37224448	{'V_mse:1', 'A_mse:1', 'C_mse:1', 'C_spe:1'}
chr5	56623104	57671680	{'D_spe:1'}
chr5	59768832	60817408	{'D_mse:1'}
chr5	60293120	61341696	{'D_spe:2', 'D_mse:2'}
chr5	73400320	74448896	{'A_mse:1', 'A_spe:1'}
chr5	79691776	80740352	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1'}
chr5	80216064	81264640	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr5	83886080	84934656	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr5	93323264	94371840	{'V_spe:1', 'C_spe:1', 'D_spe:1', 'A_spe:1'}
chr5	93847552	94896128	{'D_spe:1'}
chr5	101711872	102760448	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	102236160	103284736	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	103284736	104333312	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr5	103809024	104857600	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr5	106430464	107479040	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr5	122159104	123207680	{'D_mse:1'}
chr5	122683392	123731968	{'D_mse:1'}
chr5	124780544	125829120	{'D_spe:1'}
chr5	127401984	128450560	{'A_mse:1'}
chr5	129499136	130547712	{'D_spe:1', 'D_mse:1'}
chr5	130023424	131072000	{'D_spe:1', 'D_mse:1'}
chr5	136314880	137363456	{'D_spe:1', 'D_mse:1'}
chr5	138936320	139984896	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr5	148897792	149946368	{'C_mse:1'}
chr6	18874368	19922944	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr6	27787264	28835840	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr6	28311552	29360128	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr6	41418752	42467328	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr6	45088768	46137344	{'D_spe:1'}
chr6	51380224	52428800	{'D_spe:1', 'D_mse:1'}
chr6	51904512	52953088	{'D_spe:1', 'D_mse:1'}
chr6	56623104	57671680	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr6	65011712	66060288	{'C_spe:2', 'A_spe:2', 'D_spe:1', 'V_spe:2'}
chr6	65536000	66584576	{'C_spe:2', 'A_spe:2', 'D_spe:1', 'V_spe:2'}
chr6	69206016	70254592	{'V_mse:1', 'A_mse:1', 'V_spe:1', 'A_spe:1'}
chr6	74973184	76021760	{'D_spe:1', 'D_mse:1'}
chr6	75497472	76546048	{'D_spe:1', 'D_mse:1'}
chr6	99614720	100663296	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr6	100139008	101187584	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr6	108003328	109051904	{'V_mse:1', 'A_mse:1', 'C_mse:1'}
chr6	108527616	109576192	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr6	116916224	117964800	{'D_spe:1', 'D_mse:1'}
chr6	117440512	118489088	{'D_mse:1'}
chr6	119537664	120586240	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr6	123207680	124256256	{'D_spe:1', 'D_mse:1'}
chr6	123731968	124780544	{'D_spe:1', 'D_mse:1'}
chr6	128974848	130023424	{'C_mse:1', 'C_spe:1'}
chr6	129499136	130547712	{'C_mse:1', 'C_spe:1'}
chr6	132644864	133693440	{'A_mse:2', 'V_spe:2', 'A_spe:2', 'V_mse:2', 'C_mse:2', 'C_spe:2'}
chr6	138936320	139984896	{'V_mse:1', 'V_spe:1'}
chr6	150470656	151519232	{'V_mse:1', 'C_mse:1', 'C_spe:1'}
chr6	150994944	152043520	{'V_mse:1', 'C_mse:1'}
chr6	166723584	167772160	{'A_mse:1', 'A_spe:1'}
chr7	3145728	4194304	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr7	3670016	4718592	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr7	8388608	9437184	{'D_spe:2', 'D_mse:2'}
chr7	8912896	9961472	{'D_spe:2', 'D_mse:2'}
chr7	22544384	23592960	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr7	23068672	24117248	{'A_mse:2', 'V_spe:2', 'A_spe:2', 'D_mse:2', 'D_spe:2', 'V_mse:2', 'C_mse:2', 'C_spe:2'}
chr7	35651584	36700160	{'D_mse:1'}
chr7	39845888	40894464	{'D_spe:1', 'D_mse:1'}
chr7	40370176	41418752	{'A_mse:1', 'D_mse:1', 'D_spe:1', 'A_spe:1'}
chr7	40894464	41943040	{'A_mse:1', 'A_spe:1'}
chr7	45613056	46661632	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr7	46137344	47185920	{'D_spe:1'}
chr7	54001664	55050240	{'D_spe:1', 'D_mse:1'}
chr7	54525952	55574528	{'D_spe:1', 'D_mse:1'}
chr7	62390272	63438848	{'V_spe:1', 'D_spe:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'A_spe:1'}
chr7	86507520	87556096	{'D_spe:1', 'D_mse:1'}
chr7	87031808	88080384	{'D_spe:1', 'D_mse:1'}
chr7	90177536	91226112	{'V_mse:1', 'C_mse:1'}
chr7	91750400	92798976	{'A_mse:1', 'C_mse:1'}
chr7	96468992	97517568	{'A_mse:1', 'A_spe:1'}
chr7	96993280	98041856	{'A_mse:1', 'A_spe:1'}
chr7	104333312	105381888	{'C_mse:1'}
chr7	104857600	105906176	{'C_mse:1'}
chr7	109576192	110624768	{'D_spe:1'}
chr7	120586240	121634816	{'A_mse:1', 'A_spe:1'}
chr7	130547712	131596288	{'D_mse:1'}
chr7	131596288	132644864	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
