#bin	chrom	chromStart	chromEnd	name	score	sourceCount	sourceIds	sourceScores
935	chr7	45893789	45894269	TBX21	159	1	1234	159
935	chr7	45893792	45894248	U2AF2	679	1	369	679
935	chr7	45893794	45894094	NR2F1	454	1	1114	454
935	chr7	45893805	45894241	SRSF9	820	1	984	820
935	chr7	45893812	45894328	EP300	129	1	625	129
935	chr7	45893818	45894338	SIN3A	393	1	970	393
935	chr7	45893819	45894229	FOXK2	217	1	1081	217
935	chr7	45893819	45894255	RBM39	742	1	738	742
935	chr7	45893837	45894301	ESRRA	181	1	405	181
935	chr7	45893854	45894278	ZNF143	181	4	368,516,685,1154	181,64,158,159
935	chr7	45893876	45894261	TRIM22	1000	2	189,844	570,1000
935	chr7	45893903	45894313	ZNF207	720	1	997	720
935	chr7	45893920	45894358	RFX1	395	2	200,1003	311,395
935	chr7	45893923	45894164	REST	273	1	293	273
935	chr7	45893931	45894156	ZEB2	667	2	822,1205	583,667
935	chr7	45893958	45894218	TCF12	632	1	429	632
935	chr7	45893983	45894108	ARID2	1000	1	265	1000
935	chr7	45893990	45894366	MEIS2	68	1	163	68
935	chr7	45894073	45894169	BMI1	209	1	1097	209
935	chr7	45895835	45896291	KDM1A	180	1	345	180
935	chr7	45898053	45898517	ESRRA	233	1	405	233
935	chr7	45898105	45898425	YY1	208	1	500	208
935	chr7	45900915	45901615	CTCF	63	1	45	63
935	chr7	45903085	45904060	CTCF	1000	76	33,45,51,57,86,111,130,153,194,198,202,228,247,260,275,276,290,292,296,298,316,350,355,361,382,394,469,478,493,546,569,622,644,649,651,662,723,730,731,733,736,743,757,760,793,804,813,815,818,821,826,829,834,839,860,891,894,940,976,977,979,1002,1006,1041,1064,1068,1088,1094,1137,1160,1166,1193,1201,1217,1231,1254	191,193,558,736,116,221,571,144,152,482,285,454,902,259,1000,168,91,141,125,927,201,288,357,143,1000,434,79,40,250,613,77,116,325,146,545,221,1000,208,264,508,76,1000,199,119,507,201,515,342,131,110,260,536,288,131,119,491,332,135,265,442,230,69,480,148,492,444,219,201,79,1000,388,126,137,411,349,394
935	chr7	45903343	45903631	SMC3	501	2	85,196	119,501
935	chr7	45903358	45903728	TFAP4	217	1	805	217
935	chr7	45903373	45903663	ZNF143	329	1	368	329
935	chr7	45903378	45903647	RAD21	522	5	64,720,881,1197,1212	195,326,522,441,178
935	chr7	45904650	45904940	CTCF	146	3	546,891,1068	146,74,113
935	chr7	45905133	45905546	MNT	242	2	414,1198	98,242
935	chr7	45905147	45905567	ETV4	486	1	1102	486
935	chr7	45905211	45905495	BHLHE40	224	1	583	224
935	chr7	45905216	45905476	FOXA2	437	2	199,842	411,437
935	chr7	45905225	45905481	JUND	413	1	744	413
935	chr7	45905246	45905502	USF2	305	1	259	305
935	chr7	45905249	45905438	FOXA1	1000	2	8,402	784,1000
935	chr7	45905280	45905480	USF1	371	1	107	371
935	chr7	45908655	45908895	SPI1	154	1	445	154
935	chr7	45909019	45909475	FOS	199	2	6,684	166,199
935	chr7	45909139	45909379	NFE2L2	424	1	377	424
935	chr7	45911360	45912393	CTCF	1000	114	33,37,45,47,51,86,102,111,130,142,153,187,194,198,202,228,246,247,260,275,276,290,292,296,298,316,330,350,355,357,358,361,379,382,386,394,410,431,469,474,478,493,515,521,523,540,546,555,569,580,622,624,630,634,643,644,649,651,662,716,723,730,731,733,736,743,757,760,780,783,793,804,813,815,818,821,826,834,839,860,891,894,931,937,940,944,955,976,977,979,1002,1006,1041,1048,1064,1068,1074,1076,1088,1094,1137,1148,1151,1155,1160,1166,1190,1193,1200,1201,1217,1231,1251,1254	324,639,866,92,1000,485,663,488,741,109,417,403,523,1000,753,1000,583,571,632,534,802,438,981,876,1000,263,710,498,638,243,520,1000,106,1000,521,935,56,807,464,489,209,290,114,824,528,165,1000,667,1000,454,458,162,603,324,96,415,467,574,320,409,857,651,707,1000,780,1000,431,632,865,387,767,651,514,214,655,626,915,245,471,1000,1000,1000,537,252,631,310,81,522,794,777,238,1000,760,96,613,1000,472,839,349,516,954,674,463,281,458,772,441,846,607,592,1000,771,545,781
935	chr7	45911633	45912089	ZNF444	135	1	195	135
935	chr7	45911668	45912152	XRCC5	711	1	695	711
935	chr7	45911721	45912091	TRIM22	614	1	189	614
935	chr7	45911743	45912094	RAD21	1000	10	38,64,496,586,720,830,881,1019,1197,1212	535,852,1000,1000,398,121,706,133,1000,193
935	chr7	45911751	45912066	ZNF143	381	3	368,685,1154	381,217,203
935	chr7	45911762	45912034	SMC3	955	2	85,196	136,955
935	chr7	45912992	45913396	GATA2	157	1	266	157
935	chr7	45914259	45914615	TCF7	198	1	370	198
935	chr7	45914261	45914681	ETV4	331	1	1102	331
935	chr7	45914313	45914717	FOSL2	648	2	571,810	648,229
935	chr7	45914322	45914718	JUND	1000	5	99,559,567,744,1130	374,361,1000,397,165
935	chr7	45914345	45914669	ZNF24	167	1	239	167
935	chr7	45914374	45914698	EP300	570	1	676	570
935	chr7	45914377	45914777	GATA4	326	1	141	326
935	chr7	45914388	45914690	GATA2	1000	1	873	1000
935	chr7	45914393	45914709	STAT3	143	1	367	143
935	chr7	45914397	45914667	FOS	1000	4	438,684,993,1017	1000,780,520,278
935	chr7	45914435	45914719	BHLHE40	166	1	583	166
935	chr7	45914472	45914728	CEBPB	403	1	1206	403
935	chr7	45915995	45916399	EGR1	336	1	686	336
935	chr7	45916016	45916330	ESR1	348	2	488,752	348,293
935	chr7	45916029	45916648	ATF3	355	1	1028	355
935	chr7	45916035	45916671	HNF4A	527	2	92,677	242,527
935	chr7	45916037	45916541	SP1	1000	2	892,1183	1000,271
935	chr7	45916039	45916459	JUND	450	1	94	450
935	chr7	45916045	45916365	NCOA3	141	1	182	141
935	chr7	45916058	45916522	RXRA	942	2	628,962	260,942
935	chr7	45916067	45916463	RAD21	142	1	496	142
935	chr7	45916119	45916601	MAX	661	2	323,1111	351,661
935	chr7	45916130	45916694	YY1	772	2	69,617	772,204
935	chr7	45916174	45916518	FOXA2	441	1	395	441
935	chr7	45919897	45920569	SP1	1000	2	892,1183	1000,1000
935	chr7	45919981	45920560	RXRA	1000	2	628,962	1000,1000
935	chr7	45919984	45920504	ZBTB33	268	1	802	268
935	chr7	45919990	45920535	MAX	746	2	323,1111	746,563
935	chr7	45920007	45920351	FOXA1	520	1	1092	520
935	chr7	45920014	45920434	JUND	611	1	94	611
935	chr7	45920037	45920453	ATF3	550	1	1028	550
935	chr7	45920063	45920515	HNF4A	1000	2	92,677	1000,1000
935	chr7	45920104	45920448	FOXA2	446	1	395	446
935	chr7	45920119	45920495	HNF4G	699	1	318	699
935	chr7	45920121	45920631	POLR2A	199	1	635	199
935	chr7	45920126	45920610	REST	241	1	1233	241
935	chr7	45920151	45920378	EGR1	1000	2	595,686	1000,1000
935	chr7	45920183	45920579	RAD21	195	1	496	195
935	chr7	45920641	45921684	RBFOX2	143	1	231	143
935	chr7	45920881	45921221	RFX5	149	1	623	149
935	chr7	45921083	45922154	EHMT2	549	1	1209	549
935	chr7	45921102	45921432	CTCF	306	1	971	306
935	chr7	45921169	45922043	TAF1	410	1	882	410
935	chr7	45921234	45921587	POLR2G	321	1	305	321
935	chr7	45921247	45922074	SP1	1000	3	204,892,1183	1000,1000,1000
935	chr7	45921299	45922009	RXRA	1000	3	628,949,962	1000,1000,1000
935	chr7	45921306	45921974	HNF4A	1000	3	92,334,677	1000,870,1000
935	chr7	45921387	45921905	GATA4	1000	1	141	1000
935	chr7	45921387	45921960	EGR1	1000	2	595,686	1000,1000
935	chr7	45921408	45922376	KDM1A	1000	2	536,1146	527,1000
935	chr7	45921415	45921906	CREM	1000	1	424	1000
935	chr7	45921427	45921897	GABPA	409	2	747,798	256,409
935	chr7	45921441	45921881	SIN3A	318	1	852	318
935	chr7	45921441	45921974	EP300	1000	2	676,732	1000,977
935	chr7	45921454	45922081	FOXA1	1000	6	8,124,402,661,1092,1163	1000,624,1000,264,774,166
935	chr7	45921455	45921883	TCF7	1000	1	370	1000
935	chr7	45921455	45921905	JUND	1000	4	94,510,572,744	1000,1000,851,1000
935	chr7	45921455	45921831	ARID3A	724	1	123	724
935	chr7	45921461	45922016	REST	391	3	245,1172,1233	324,262,391
935	chr7	45921464	45921854	CREB1	121	1	1229	121
935	chr7	45921468	45921956	FOXA2	1000	4	158,199,395,842	902,867,986,1000
935	chr7	45921472	45921868	CCAR2	779	1	242	779
935	chr7	45921474	45921854	ATF7	460	1	528	460
935	chr7	45921476	45921902	SKI	1000	1	599	1000
935	chr7	45921480	45922174	NR2F2	539	2	87,211	539,524
935	chr7	45921482	45921926	ATF3	1000	3	186,307,1028	1000,371,1000
935	chr7	45921492	45922083	YY1	1000	3	69,484,617	1000,182,471
935	chr7	45921508	45922039	MAX	1000	2	323,1111	536,1000
935	chr7	45921511	45921864	TBX3	1000	2	581,1210	1000,1000
935	chr7	45921521	45921917	TCF12	828	2	603,777	197,828
935	chr7	45921527	45921911	MNT	155	1	414	155
935	chr7	45921527	45921849	FOXP1	1000	1	104	1000
935	chr7	45921531	45921869	ETV4	1000	1	1102	1000
935	chr7	45921533	45922215	NCOR1	1000	1	417	1000
935	chr7	45921536	45921912	HNF4G	1000	2	318,460	1000,1000
935	chr7	45921543	45921852	ZBTB33	1000	1	802	1000
935	chr7	45921546	45921856	MAFK	340	1	1173	340
935	chr7	45921551	45921881	CTCF	467	1	938	467
935	chr7	45921557	45921718	ZNF384	855	1	746	855
935	chr7	45921558	45921898	FOXK2	1000	1	801	1000
935	chr7	45921563	45922129	ZNF24	441	2	239,958	269,441
935	chr7	45921569	45921858	NR2F6	1000	1	490	1000
935	chr7	45921571	45922021	RAD21	189	2	64,586	105,189
935	chr7	45921576	45922125	HDAC2	988	2	988,1083	784,988
935	chr7	45921578	45921982	FOSL2	1000	2	571,810	1000,317
935	chr7	45921581	45921957	ZHX2	329	1	901	329
935	chr7	45921582	45921940	TFAP4	1000	1	805	1000
935	chr7	45921583	45922383	ASH2L	796	1	132	796
935	chr7	45921584	45921846	HNF1A	1000	1	1136	1000
935	chr7	45921587	45921863	ELF1	224	1	1115	224
935	chr7	45921588	45921858	SMC3	295	1	196	295
935	chr7	45921592	45921862	MAFF	195	1	553	195
935	chr7	45921607	45921891	NFE2L2	247	2	122,809	218,247
935	chr7	45921611	45921945	BHLHE40	349	2	461,583	325,349
935	chr7	45921614	45921912	CEBPB	1000	4	214,921,1206,1241	1000,1000,1000,1000
935	chr7	45921615	45921911	FOS	696	4	684,888,993,1017	652,696,611,676
935	chr7	45921622	45922398	HDAC1	1000	1	254	1000
935	chr7	45921623	45921887	ESRRA	421	1	964	421
935	chr7	45921626	45921930	MYC	387	1	696	387
935	chr7	45921627	45921943	STAT3	248	1	367	248
935	chr7	45921640	45922004	TBP	162	1	952	162
935	chr7	45921643	45922292	CHD4	1000	1	840	1000
935	chr7	45921645	45921830	TBL1XR1	1000	1	110	1000
935	chr7	45921646	45921855	ETS1	1000	1	375	1000
935	chr7	45921654	45921855	SOX13	1000	1	690	1000
935	chr7	45921662	45921942	SMARCC2	626	1	963	626
935	chr7	45921687	45921917	SMARCE1	448	1	1022	448
935	chr7	45921691	45921947	USF2	137	1	259	137
935	chr7	45921707	45922118	POLR2A	769	2	635,1178	769,336
935	chr7	45921730	45921930	USF1	164	1	107	164
935	chr7	45921760	45921994	RBFOX2	167	1	231	167
935	chr7	45921935	45922072	ZMYM3	1000	1	825	1000
935	chr7	45922018	45922438	CTCF	233	3	51,743,977	139,233,113
935	chr7	45922068	45922444	ARID3A	350	1	123	350
935	chr7	45922070	45922340	SMC3	284	1	196	284
935	chr7	45922149	45922405	RAD21	155	1	64	155
935	chr7	45924581	45925257	RBM39	529	1	427	529
935	chr7	45924677	45925557	ZFX	147	1	30	147
935	chr7	45924702	45925306	U2AF1	671	1	24	671
935	chr7	45924749	45925274	MYC	332	1	184	332
935	chr7	45924755	45925251	HNRNPL	285	1	725	285
935	chr7	45924770	45925129	RBFOX2	222	1	231	222
935	chr7	45924800	45925220	RNF2	435	1	336	435
935	chr7	45924822	45925215	POLR2G	289	1	305	289
935	chr7	45924824	45925600	HDAC1	873	1	254	873
935	chr7	45924827	45925555	POLR2A	677	1	635	677
935	chr7	45924834	45925615	SP1	1000	4	204,892,1183,1213	1000,1000,1000,202
935	chr7	45924850	45925488	TFAP4	1000	1	805	1000
935	chr7	45924875	45925095	ZBTB7A	310	1	1099	310
935	chr7	45924899	45925570	RXRA	1000	3	628,949,962	723,881,1000
935	chr7	45924904	45925751	YY1	1000	3	69,484,617	1000,181,257
935	chr7	45924938	45925314	ZHX2	436	1	901	436
935	chr7	45924939	45925531	FOXA2	1000	4	158,199,395,842	1000,1000,1000,1000
935	chr7	45924957	45925577	KDM1A	1000	1	1146	1000
935	chr7	45924970	45925480	RAD21	312	3	496,586,1197	312,258,148
935	chr7	45924979	45925503	GABPA	245	1	798	245
935	chr7	45924982	45925523	HNF4A	1000	3	92,334,677	843,321,1000
935	chr7	45924985	45925562	GATA4	1000	1	141	1000
935	chr7	45925000	45925384	MNT	151	1	414	151
935	chr7	45925001	45925571	FOXA1	1000	6	8,124,402,661,1092,1163	1000,1000,1000,706,1000,308
935	chr7	45925006	45925668	MAX	1000	2	323,1111	733,1000
935	chr7	45925020	45925349	ETV4	1000	1	1102	1000
935	chr7	45925020	45925350	CTCF	409	1	938	409
935	chr7	45925021	45925451	ATF3	1000	2	186,1028	432,1000
935	chr7	45925022	45925711	REST	600	2	245,1233	365,600
935	chr7	45925028	45925709	JUND	1000	4	94,510,559,744	1000,620,198,970
935	chr7	45925029	45925499	ZBTB33	920	2	802,1030	920,120
935	chr7	45925029	45925399	RCOR1	556	1	843	556
935	chr7	45925045	45925421	EP300	1000	2	676,732	1000,632
935	chr7	45925046	45925466	NR2F2	597	1	87	597
935	chr7	45925048	45925447	CREM	1000	1	424	1000
935	chr7	45925049	45925403	HDAC2	1000	2	988,1083	851,1000
935	chr7	45925053	45925769	TAF1	431	1	882	431
935	chr7	45925054	45925491	TCF7	1000	1	370	1000
935	chr7	45925059	45925440	ZNF24	144	2	239,958	141,144
935	chr7	45925063	45925463	TBX3	427	2	581,1210	399,427
935	chr7	45925064	45925308	TCF12	1000	1	777	1000
935	chr7	45925067	45925403	ZKSCAN1	187	1	359	187
935	chr7	45925071	45925411	FOXK2	872	1	801	872
935	chr7	45925072	45925432	TBL1XR1	569	1	110	569
935	chr7	45925082	45925459	HNF4G	521	2	318,460	426,521
935	chr7	45925086	45925364	HNF1A	831	1	1136	831
935	chr7	45925086	45925349	RFX1	470	1	170	470
935	chr7	45925095	45925358	NR2F6	1000	1	490	1000
935	chr7	45925103	45925327	CEBPB	993	2	214,1241	993,801
935	chr7	45925115	45925312	LCORL	1000	1	387	1000
935	chr7	45925122	45925387	NCOR1	862	1	417	862
935	chr7	45925122	45925366	KAT2B	293	1	21	293
935	chr7	45925123	45925271	SOX13	1000	1	690	1000
935	chr7	45925124	45925394	MAFF	212	1	553	212
935	chr7	45925149	45925525	ARID3A	705	1	123	705
935	chr7	45925154	45925954	ASH2L	657	1	132	657
935	chr7	45925162	45925273	FOXP1	1000	1	104	1000
935	chr7	45925162	45925266	EGR1	1000	1	686	1000
935	chr7	45925163	45925513	ETS1	431	1	375	431
935	chr7	45925167	45925300	SKI	609	1	599	609
935	chr7	45925169	45925453	NFE2L2	187	1	122	187
935	chr7	45925172	45925501	NR3C1	316	2	270,640	208,316
935	chr7	45925172	45925412	MAFK	195	1	987	195
935	chr7	45925201	45925517	STAT3	192	1	367	192
935	chr7	45925214	45925470	FOS	364	2	888,993	239,364
935	chr7	45925216	45925412	BHLHE40	292	1	188	292
935	chr7	45925239	45925519	SMARCC2	539	1	963	539
935	chr7	45925240	45925389	NRF1	126	1	759	126
935	chr7	45925304	45925372	FOSL2	1000	1	571	1000
935	chr7	45925438	45925808	CTCF	61	1	931	61
935	chr7	45926872	45928674	KDM5A	206	1	784	206
935	chr7	45927130	45927950	CHD4	526	1	840	526
935	chr7	45927454	45928230	HDAC1	592	1	254	592
935	chr7	45927594	45927968	KDM1A	744	1	1146	744
935	chr7	45927597	45928292	JUND	792	3	94,510,744	792,339,599
935	chr7	45927600	45928170	NCOR1	317	1	417	317
935	chr7	45927614	45929424	ASH2L	383	2	132,1116	343,383
935	chr7	45927619	45928143	CREM	531	1	424	531
935	chr7	45927622	45928012	CREB1	90	1	1229	90
935	chr7	45927636	45928228	SP1	1000	3	204,892,1183	1000,1000,1000
935	chr7	45927643	45928164	FOXA2	574	4	158,199,395,842	217,414,574,128
935	chr7	45927647	45928167	ZBTB33	271	1	802	271
935	chr7	45927657	45928458	YY1	364	2	69,484	364,216
935	chr7	45927660	45928880	SIN3A	625	4	217,223,852,970	535,243,625,274
935	chr7	45927661	45928101	NR2F6	198	1	490	198
935	chr7	45927675	45928090	HNF4A	1000	3	92,334,677	1000,307,1000
935	chr7	45927681	45928168	ATF3	1000	2	186,1028	317,1000
935	chr7	45927684	45929340	EZH2	512	4	409,772,1023,1240	291,512,421,468
935	chr7	45927685	45928008	TFAP4	1000	1	805	1000
935	chr7	45927685	45928229	MAX	509	2	446,1111	376,509
935	chr7	45927690	45928106	RFX1	209	1	170	209
935	chr7	45927721	45928100	RXRA	1000	3	628,949,962	640,337,1000
935	chr7	45927725	45928121	RAD21	141	2	64,496	130,141
935	chr7	45927726	45927970	TCF12	524	1	777	524
935	chr7	45927730	45928086	TCF7	377	1	370	377
935	chr7	45927741	45928117	HNF4G	409	1	318	409
935	chr7	45927744	45927964	ZBTB7A	392	1	1099	392
935	chr7	45927753	45928077	EP300	684	1	676	684
935	chr7	45927764	45928064	NR3C1	339	1	640	339
935	chr7	45927774	45934727	RBFOX2	1000	1	231	1000
935	chr7	45927789	45928133	FOXA1	481	3	8,402,1092	406,238,481
935	chr7	45927791	45927935	ETS1	550	1	375	550
935	chr7	45927793	45928323	REST	761	3	245,1172,1233	194,188,761
935	chr7	45927799	45928139	HDAC2	513	1	1083	513
935	chr7	45927801	45928188	HNF1A	1000	1	1136	1000
935	chr7	45927817	45928317	HNRNPUL1	884	1	582	884
935	chr7	45927818	45928218	TBX3	219	1	1210	219
935	chr7	45927818	45928424	EGR1	550	1	686	550
935	chr7	45927823	45928207	MNT	157	1	414	157
935	chr7	45927825	45928375	NRF1	38	1	759	38
935	chr7	45927833	45928103	MAFF	244	1	553	244
935	chr7	45927863	45930706	POLR2G	1000	1	305	1000
935	chr7	45927874	45929332	POLR2A	1000	5	376,476,635,885,1246	681,340,1000,260,214
935	chr7	45927905	45928195	TBP	1000	1	952	1000
935	chr7	45927914	45928274	TBL1XR1	475	1	110	475
935	chr7	45927918	45928290	HNRNPLL	339	1	849	339
935	chr7	45927923	45928193	TAF1	1000	1	882	1000
935	chr7	45927933	45928437	TAF15	444	1	726	444
935	chr7	45927939	45928283	SOX13	85	1	690	85
935	chr7	45927966	45928615	SKI	302	1	599	302
935	chr7	45927975	45928235	FOSL2	291	1	571	291
935	chr7	45927991	45928427	FIP1L1	690	1	374	690
935	chr7	45928000	45928579	RFX5	132	1	623	132
935	chr7	45928008	45928252	TCF12	169	1	777	169
935	chr7	45928009	45928429	RNF2	763	1	336	763
935	chr7	45928012	45928717	RBM39	956	1	427	956
935	chr7	45928024	45928714	SRSF4	831	1	890	831
935	chr7	45928026	45928249	GATA4	1000	1	141	1000
935	chr7	45928042	45928746	KDM4A	790	1	401	790
935	chr7	45928064	45928668	MXI1	346	2	390,1211	346,253
935	chr7	45928082	45928688	SUZ12	835	1	626	835
935	chr7	45928166	45928296	HNRNPL	527	1	725	527
935	chr7	45928219	45928675	MNT	187	1	1157	187
935	chr7	45928231	45928581	MTA1	197	1	1202	197
935	chr7	45928235	45928606	AGO2	606	1	912	606
935	chr7	45928261	45928571	MYC	911	2	184,1039	911,498
935	chr7	45928288	45928967	ZHX2	126	1	901	126
935	chr7	45928432	45929006	SOX13	245	1	690	245
935	chr7	45928556	45929501	ETV4	347	1	1102	347
935	chr7	45928562	45929658	REST	233	2	1172,1233	161,233
935	chr7	45928566	45928966	GATA4	447	1	141	447
935	chr7	45928640	45930966	JUND	614	2	510,744	614,403
935	chr7	45928727	45929223	HNRNPL	279	1	725	279
935	chr7	45928757	45929376	HNRNPH1	445	1	926	445
935	chr7	45928763	45929327	YY1	158	1	617	158
935	chr7	45928813	45929073	FOSL2	201	1	571	201
935	chr7	45928861	45929117	USF1	270	2	107,1171	146,270
935	chr7	45928897	45929714	TAF1	385	1	882	385
935	chr7	45928949	45929260	NR3C1	1000	4	221,270,640,1139	445,877,1000,640
935	chr7	45928949	45929350	FOXA2	312	2	158,395	164,312
935	chr7	45928964	45929368	EGR1	347	1	686	347
935	chr7	45929066	45929222	FOXA1	1000	1	880	1000
935	chr7	45929084	45929719	ATF3	383	1	186	383
935	chr7	45929138	45929538	GATA4	356	1	141	356
935	chr7	45929146	45929485	GATA2	1000	1	873	1000
935	chr7	45929308	45929414	NR3C1	283	1	640	283
935	chr7	45929339	45929800	HNF4A	251	2	92,677	251,190
935	chr7	45929350	45929924	TCF7	221	1	197	221
935	chr7	45929439	45930157	SP1	284	2	204,892	284,58
935	chr7	45929480	45929776	RXRA	257	1	949	257
935	chr7	45929582	45929946	ZMYM3	355	1	825	355
935	chr7	45929683	45930341	ETV4	229	1	1102	229
935	chr7	45929709	45930617	YY1	229	2	69,617	163,229
935	chr7	45929841	45930325	REST	170	1	1233	170
935	chr7	45930150	45930640	NR2F2	261	1	211	261
935	chr7	45930232	45930492	FOSL2	128	1	571	128
935	chr7	45930246	45930532	POLR2A	152	1	635	152
935	chr7	45930330	45930714	EZH2	221	1	1023	221
935	chr7	45930400	45930948	SP1	124	1	204	124
935	chr7	45930432	45930848	ATF3	212	1	1028	212
